Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OY907077,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29850,complete,United Kingdom:England,Homo sapiens,,,2022-03-13,2023-12-07,ssRNA(+)
OM852311,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,KY-CDC-ASC210548802,29793,partial,USA: Kentucky,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2022-02-04,2022-02-28,ssRNA(+)
OV591149,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-12-29,2022-01-18,ssRNA(+)
OX721368,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29867,complete,United Kingdom:England,Homo sapiens,,,2022-01-09,2023-06-18,ssRNA(+)
OP361240,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,JW7744,29735,complete,USA: North Carolina,Homo sapiens,,"Wang,J., Martin,K., Skelly,T., Miller,M.",2022-08-22,2022-09-02,ssRNA(+)
KX829775,Human immunodeficiency virus 1,Lentivirus humimdef1,,CAD_PBMC_Donor1_day7_40.Contig,1516,partial,USA,Homo sapiens,,"Bui,J.K., Halvas,E.K., Fyne,E., Sobolewski,M.D., Koontz,D., Shao,W., Luke,B., Hong,F.F., Kearney,M.F., Mellors,J.W.",2015-02-02,2017-02-16,ssRNA-RT
PV193944,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,UM-10062058679,1410,partial,USA: Michigan,Homo sapiens,,"Lauring,A.S., Papalambros,L.K.",2025-01-28,2025-02-27,ssRNA(-)
KY689694,Rotavirus B,Rotavirus betagastroenteritidis,,,961,complete,USA,Capra hircus,,"Chen,F., Knutson,T.P., Ciarlet,M., Sturos,M., Marthaler,D.G., Knutson,T., Marthaler,D.",2016,2018-08-17,dsRNA
PX165317,Human immunodeficiency virus 1,Lentivirus humimdef1,,V704_2150_230_GP_3_1,2462,partial,Peru,Homo sapiens,blood,"Mullins,J.I., Deng,W., Magaret,C.A., Georgi,E., Rolland,M., Murrell,B., Bhattacharya,T., Juraska,M., Westfall,D.H., Yssel,A., Ndungu,T., Robb,M.L., Murrell,H., Bumgarner,R., Chen,L., Gwashu-Nyangiri,A., Zhao,H., Thebus,R., Wong,K., Sawe,F., Nitayaphan,S., York,T., Matten,D., Beaume,N., Moore,P.L., Pankow,A.P., Lugwig,J., Rossenkhan,R., Edlefsen,P.T., Hural,J., Cohen,M.S., Corey,L., McElrath,J.M., Gilbert,P.B., Williamson,C.",2018-06,2025-09-07,ssRNA-RT
OM319589,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,M_C15428,29701,complete,Malaysia,Homo sapiens,oronasopharynx,"Chan,Y.Y., Musa,N., Khalid,M.F., Engku Nur Syafirah,E.A.R., Md Zoqratt,M.Z.H., Lim,S.Y., Lau,N.S., Omar,S., Wan Mohammad,W.M.Z., Wilhelm Eng,W.H., Leela,A., Rahman,S., Ayub,Q., Mat Salleh,N.H., Hussin,Z., Md Zain,M., Muhammad,A.H., Halim,A.S., Deris,Z.Z., Banga Singh,K.K., Harun,A., Chua,W.L., Azmi,N.L., Chua,W.C., Samsudin,M.N.F., Lee,L.H., Ahmed,N., Yusof,W., Irekeola,A.A., Mohammad Nasir,M.A., Mohamed,F., Alexander Chong,S.C., Rosline,H.",2021-11-28,2022-01-20,ssRNA(+)
OM531594,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MA-CDCBI-CRSP_KRNNCPQKMWTDDF77,29827,partial,USA: Massachusetts,Homo sapiens,,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.",2022-01-27,2022-02-06,ssRNA(+)
OU169995,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,BS-ETHZ-331379,29903,partial,Switzerland:BS,Homo sapiens,,,2020-10-21,2021-06-16,ssRNA(+)
MW896138,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CA-CDC-FG-015589,29813,partial,USA: California,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.",2021-03-29,2021-04-09,ssRNA(+)
KU513656,Hepatitis B virus,Orthohepadnavirus hominoidei,,AB_RC57,315,partial,Democratic Republic of the Congo,Homo sapiens,,"Angounda,B.M., Boumba,A.L.M., Bokilo,A.D., Assoumou,S.Z., Ahombo,G., Ibara,J.R., Ennaji,M.M.",2015-01-08,2016-07-16,dsDNA-RT
OD923444,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29884,complete,United Kingdom:England,Homo sapiens,,"Howes,R., The Lighthouse Lab in,Cambridge., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2020-12-26,2021-04-29,ssRNA(+)
OW179097,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29850,partial,United Kingdom:England,Homo sapiens,,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-03-06,2022-03-21,ssRNA(+)
OU936549,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29793,partial,Germany:Europe/Germany/Thuringia,Homo sapiens,,,2021-08-30,2021-11-01,ssRNA(+)
OR979301,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,TN-SPHL-16887,29721,partial,USA: TN,Homo sapiens,,"Martin,A., Anderson,N.M.",2023-08-16,2023-12-18,ssRNA(+)
OY083403,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29723,partial,Germany:Europe/Germany/Rhineland-Palatinate,Homo sapiens,,,2022-07-30,2023-06-24,ssRNA(+)
OU918105,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29890,partial,United Kingdom:England,Homo sapiens,,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-10-18,2021-11-01,ssRNA(+)
MH010597,dengue virus type I,Orthoflavivirus denguei,,D1/Zhejiang/17-09/2017,1485,partial,China,Homo sapiens,,"Yan,H., Ding,Z., Yan,J., Yao,W., Pan,J., Yang,Z., Lou,X., Mao,H., Lin,J., Sun,J., Hou,J., Wu,H., Wu,C., Zhang,Y.",2017-11,2019-01-09,ssRNA(+)
KJ185326,Human immunodeficiency virus 1,Lentivirus humimdef1,,DGP156,1197,partial,India,Homo sapiens,,"Acharya,A., Vaniawala,S., Shah,P., Misra,R.N., Wani,M., Mukhopadhyaya,P.N., Parekh,H.",2013-05-16,2014-06-07,ssRNA-RT
OV020656,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29860,partial,Germany:Europe/Germany/Saxony,Homo sapiens,,,2021-10-11,2021-11-23,ssRNA(+)
PQ028147,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CA-GBW-GKPLAAAA27956,29843,partial,USA: California,Homo sapiens,oronasopharynx,"Rothstein,A.P., Collins,S., Muir,G., Simas,A., Lu,B., Cosca,B., Girinathan,B., Leeson,P., Philipson,C.W., Plocik,A.M., Simen,B.",2024-05-20,2024-07-15,ssRNA(+)
OK455705,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,NC-CDC-LC0289593,29767,partial,USA: North Carolina,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2021-09-20,2021-10-11,ssRNA(+)
OY055488,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29646,partial,Germany:Europe/Germany/Brandenburg,Homo sapiens,,,2022-07-22,2023-06-23,ssRNA(+)
OU178904,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29884,partial,United Kingdom:England,Homo sapiens,,"Randox,Laboratories., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2021-02-25,2021-06-16,ssRNA(+)
OU112439,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29854,partial,Germany:Europe/Germany/Bremen,Homo sapiens,,,2021-03-23,2021-06-09,ssRNA(+)
CY140953,Influenza A virus (A/American green-winged teal/Texas/AI09-4396/2009(H3N9)),Alphainfluenzavirus influenzae,H3N9,,1740,partial,"USA: Winnie, Chambers county, TX",Anas carolinensis,,"Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Wester,E., Ghedin,E., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Lebarbenchon,C., Sreevatsan,S., Poulson,B., Yang,M., Stallknecht,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J., Tatusova,T.",2009-09-19,2013-04-26,ssRNA(-)
PV327139,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,EPI_ISL_19051215,2316,partial,USA: Florida,Homo sapiens,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.",2024-02-17,2025-03-18,ssRNA(-)
OQ510448,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MN-CDC-LC1010913,29724,partial,USA: Minnesota,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2023-02-08,2023-02-24,ssRNA(+)
ON687209,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,NJ-CDC-LC0664994,29262,partial,USA: New Jersey,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.",2022-05-20,2022-06-06,ssRNA(+)
PQ994391,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,21122230269,29831,partial,France,Homo sapiens,oronasopharynx,"Jimenez-Aray,B., Gourgeon,A., N'Debi,M., Thompson,T., Demontant,V., Simitambe,A., Lau,M., Boizeau,L., Cappy,P., Pawlotsky,J.-M., Fourati,S., Rodriguez,C.",2021-12-20,2025-01-22,ssRNA(+)
KP083246,Tenuivirus oryzaclavatae,Tenuivirus oryzaclavatae,,JSu1,2139,partial,China: Jiangsu Province,Oryza sativa,,"Zhang,S.Y., Li,F.",2013-04-03,2015-01-05,ssRNA(-)
MW316078,Grapevine leafroll-associated virus 3,Ampelovirus trivitis,,PRC_6_3,421,partial,Croatia,Vitis vinifera,,"Hancevic,K., Saldarelli,P., Carija,M., Cerni,S., Zdunic,G., Mucalo,A., Radic,T.",2019-01,2021-01-13,ssRNA(+)
OY635509,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29746,complete,United Kingdom:England,Homo sapiens,,,2022-02-16,2023-08-09,ssRNA(+)
OK565483,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,TX-CDC-ASC210326812,29808,partial,USA: Texas,Homo sapiens,oronasopharynx,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.",2021-09-18,2021-10-20,ssRNA(+)
PQ109444,Influenza A virus,Alphainfluenzavirus influenzae,H5N1,24-016437-010-original,2280,partial,USA: ID,Bos taurus,mammalian milk,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.",2024-05-30,2024-08-04,ssRNA(-)
OV703270,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-01-07,2022-01-24,ssRNA(+)
OW672087,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29770,partial,Germany:Europe/Germany/Bavaria,Homo sapiens,,,2022-01-20,2022-05-02,ssRNA(+)
OY582869,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29874,complete,United Kingdom:Wales,Homo sapiens,,,2021-12-14,2023-07-30,ssRNA(+)
ON405945,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CO-CDPHE-2103112685,29747,complete,USA,Homo sapiens,,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.",2022-04-02,2022-05-04,ssRNA(+)
OW477144,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29642,complete,United Kingdom:Scotland,Homo sapiens,,,2021-10-05,2022-04-16,ssRNA(+)
OK435969,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,MOR-92,29823,complete,Mexico,Homo sapiens,,"Taboada,B., Zarate,S., Isa,P., Boukadida,C., Vazquez-Perez,J.A., Munoz-Medina,J.E., Ramirez-Gonzalez,J.E., Comas-Garcia,A., Grajales-Muniz,C., Rincon-Rubio,A., Matias-Florentino,M., Sanchez-Flores,A., Mendieta-Condado,E., Verleyen,J., Barrera-Badillo,G., Hernandez-Rivas,L., Mejia-Nepomuceno,F., Martinez-Orozco,J.A., Becerril-Vargas,E., Lopez,S., Lopez-Martinez,I., Avila-Rios,S., Arias,C.F., Cruz-Ortiz,N., Fernandes-Matano,L., Grande,R., Hernandez-Teran,A., Mujica-Sanchez,M., Nunez-Garcia,T., Ochoa-Carrera,L.A., Paz-Juarez,H.E., Pulido,F., Rojas-Mendoza,T., Salas-Hernandez,J., Santacruz-Tinoco,C.E., Coy-Arechavaleta,A.S., Vazquez,G.",2021-02-09,2021-10-08,ssRNA(+)
